p1	p2	rg	p	p1_id	p2_id	id	method	q
../output_wrangling/output_pmid27989323_IL7_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL7_eur	pmid27455348_ALS_eur	pmid27989323_IL7_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL8_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL8_eur	pmid27455348_ALS_eur/pmid27989323_IL8_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL8_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL8_eur	pmid27455348_ALS_eur	pmid27989323_IL8_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL9_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_IL9_eur	pmid27455348_ALS_eur/pmid27989323_IL9_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL9_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	NA	pmid27989323_IL9_eur	pmid27455348_ALS_eur	pmid27989323_IL9_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	-0.2806	0.781	pmid27455348_ALS_eur	pmid27989323_ip10_eur	pmid27455348_ALS_eur/pmid27989323_ip10_eur	hdl	0.894895833333333
../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-0.2806	0.781	pmid27989323_ip10_eur	pmid27455348_ALS_eur	pmid27989323_ip10_eur/pmid27455348_ALS_eur	hdl	0.894895833333333
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MCP1_eur.hdl.rds	-0.3076	0.311	pmid27455348_ALS_eur	pmid27989323_MCP1_eur	pmid27455348_ALS_eur/pmid27989323_MCP1_eur	hdl	0.6842
../output_wrangling/output_pmid27989323_MCP1_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-0.3076	0.311	pmid27989323_MCP1_eur	pmid27455348_ALS_eur	pmid27989323_MCP1_eur/pmid27455348_ALS_eur	hdl	0.6842
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MCP3_eur.hdl.rds	0	NA	pmid27455348_ALS_eur	pmid27989323_MCP3_eur	pmid27455348_ALS_eur/pmid27989323_MCP3_eur	hdl	NA
