p1	p2	rg	p	p1_id	p2_id	id	method	q
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	0	0	pmid27989323_MIF_eur	pmid27989323_eotaxin_eur	pmid27989323_MIF_eur/pmid27989323_eotaxin_eur	hdl	0
../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	0	pmid27989323_eotaxin_eur	pmid27989323_MIF_eur	pmid27989323_eotaxin_eur/pmid27989323_MIF_eur	hdl	0
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	0	0	pmid27989323_MIF_eur	pmid27989323_ip10_eur	pmid27989323_MIF_eur/pmid27989323_ip10_eur	hdl	0
../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	0	pmid27989323_ip10_eur	pmid27989323_MIF_eur	pmid27989323_ip10_eur/pmid27989323_MIF_eur	hdl	0
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIP1b_eur.hdl.rds	0	0	pmid27989323_MIF_eur	pmid27989323_MIP1b_eur	pmid27989323_MIF_eur/pmid27989323_MIP1b_eur	hdl	0
../output_wrangling/output_pmid27989323_MIP1b_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	0	pmid27989323_MIP1b_eur	pmid27989323_MIF_eur	pmid27989323_MIP1b_eur/pmid27989323_MIF_eur	hdl	0
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid27989323_TRAIL_eur.hdl.rds	0	0	pmid27989323_MIF_eur	pmid27989323_TRAIL_eur	pmid27989323_MIF_eur/pmid27989323_TRAIL_eur	hdl	0
../output_wrangling/output_pmid27989323_TRAIL_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	0	pmid27989323_TRAIL_eur	pmid27989323_MIF_eur	pmid27989323_TRAIL_eur/pmid27989323_MIF_eur	hdl	0
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	0	0	pmid27989323_MIF_eur	pmid29566793_ALS_eur	pmid27989323_MIF_eur/pmid29566793_ALS_eur	hdl	0
../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	0	pmid29566793_ALS_eur	pmid27989323_MIF_eur	pmid29566793_ALS_eur/pmid27989323_MIF_eur	hdl	0
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	0	0	pmid27989323_MIF_eur	pmid33987465_PD_eur	pmid27989323_MIF_eur/pmid33987465_PD_eur	hdl	0
../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	0	0	pmid33987465_PD_eur	pmid27989323_MIF_eur	pmid33987465_PD_eur/pmid27989323_MIF_eur	hdl	0
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	1	NA	pmid27455348_ALS_eur	pmid27455348_ALS_eur	pmid27455348_ALS_eur/pmid27455348_ALS_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL12p70_eur.hdl.rds	1	NA	pmid27989323_IL12p70_eur	pmid27989323_IL12p70_eur	pmid27989323_IL12p70_eur/pmid27989323_IL12p70_eur	hdl	NA
../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIF_eur.hdl.rds	1	NA	pmid27989323_MIF_eur	pmid27989323_MIF_eur	pmid27989323_MIF_eur/pmid27989323_MIF_eur	hdl	NA
../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	1	NA	pmid29566793_ALS_eur	pmid29566793_ALS_eur	pmid29566793_ALS_eur/pmid29566793_ALS_eur	hdl	NA
../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	1	NA	pmid27989323_eotaxin_eur	pmid27989323_eotaxin_eur	pmid27989323_eotaxin_eur/pmid27989323_eotaxin_eur	hdl	NA
../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	1	NA	pmid27989323_IL1ra_eur	pmid27989323_IL1ra_eur	pmid27989323_IL1ra_eur/pmid27989323_IL1ra_eur	hdl	NA
../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	1	NA	pmid27989323_ip10_eur	pmid27989323_ip10_eur	pmid27989323_ip10_eur/pmid27989323_ip10_eur	hdl	NA
../output_wrangling/output_pmid27989323_MCP1_eur.hdl.rds	../output_wrangling/output_pmid27989323_MCP1_eur.hdl.rds	1	NA	pmid27989323_MCP1_eur	pmid27989323_MCP1_eur	pmid27989323_MCP1_eur/pmid27989323_MCP1_eur	hdl	NA
../output_wrangling/output_pmid27989323_MIP1b_eur.hdl.rds	../output_wrangling/output_pmid27989323_MIP1b_eur.hdl.rds	1	NA	pmid27989323_MIP1b_eur	pmid27989323_MIP1b_eur	pmid27989323_MIP1b_eur/pmid27989323_MIP1b_eur	hdl	NA
../output_wrangling/output_pmid27989323_TRAIL_eur.hdl.rds	../output_wrangling/output_pmid27989323_TRAIL_eur.hdl.rds	1	NA	pmid27989323_TRAIL_eur	pmid27989323_TRAIL_eur	pmid27989323_TRAIL_eur/pmid27989323_TRAIL_eur	hdl	NA
../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	1	NA	pmid33987465_PD_eur	pmid33987465_PD_eur	pmid33987465_PD_eur/pmid33987465_PD_eur	hdl	NA
