p1	p2	rg	p	p1_id	p2_id	id	method
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL18_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL18_eur	pmid27455348_ALS_eur/pmid27989323_IL18_eur	hdl
../output_wrangling/output_pmid27989323_IL18_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL18_eur	pmid27455348_ALS_eur	pmid27989323_IL18_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	-1.7491	  2.78e-01 	pmid27455348_ALS_eur	pmid27989323_IL1ra_eur	pmid27455348_ALS_eur/pmid27989323_IL1ra_eur	hdl
../output_wrangling/output_pmid27989323_IL1ra_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-1.7491	  2.78e-01 	pmid27989323_IL1ra_eur	pmid27455348_ALS_eur	pmid27989323_IL1ra_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL2_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL2_eur	pmid27455348_ALS_eur/pmid27989323_IL2_eur	hdl
../output_wrangling/output_pmid27989323_IL2_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL2_eur	pmid27455348_ALS_eur	pmid27989323_IL2_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL2ra_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL2ra_eur	pmid27455348_ALS_eur/pmid27989323_IL2ra_eur	hdl
../output_wrangling/output_pmid27989323_IL2ra_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL2ra_eur	pmid27455348_ALS_eur	pmid27989323_IL2ra_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL4_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL4_eur	pmid27455348_ALS_eur/pmid27989323_IL4_eur	hdl
../output_wrangling/output_pmid27989323_IL4_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL4_eur	pmid27455348_ALS_eur	pmid27989323_IL4_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL5_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL5_eur	pmid27455348_ALS_eur/pmid27989323_IL5_eur	hdl
../output_wrangling/output_pmid27989323_IL5_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_IL5_eur	pmid27455348_ALS_eur	pmid27989323_IL5_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_IL6_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_IL6_eur	pmid27455348_ALS_eur/pmid27989323_IL6_eur	hdl
